City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
564,Jiangyou,CN,87.48,clear sky,31.77,104.72,
565,Nagato,JP,83.19,overcast clouds,34.38,131.2,
566,Alamos,MX,86.72,clear sky,27.02,-108.93,
567,Muroto,JP,81.39,overcast clouds,33.28,134.15,
568,Chamba,IN,77.5,moderate rain,32.57,76.13,
569,Sistranda,NO,64.36,broken clouds,63.73,8.83,
570,Lubao,PH,79.14,moderate rain,14.92,120.55,
571,Svetlogorsk,BY,63.0,overcast clouds,52.63,29.73,
572,Susaki,JP,86.31,broken clouds,33.37,133.28,
573,Kieta,PG,84.24,light rain,-6.22,155.63,
575,Aljezur,PT,61.93,clear sky,37.32,-8.8,
577,Lop Buri,TH,89.2,overcast clouds,14.8,100.65,
578,Bousso,TD,70.97,light rain,10.48,16.71,
579,Eresos,GR,76.51,clear sky,39.17,25.93,
581,Hovd,MN,74.91,clear sky,48.01,91.64,
582,Champerico,GT,83.35,few clouds,14.3,-91.92,
585,Woodbury,US,85.98,clear sky,42.38,-96.03,
586,Daura,NG,70.34,moderate rain,11.55,11.41,
587,Afikpo,NG,69.98,broken clouds,5.89,7.94,
588,Lipari,IT,81.79,clear sky,38.47,14.95,
589,Cocobeach,GA,75.13,light rain,1.0,9.58,
590,Muisne,EC,75.47,overcast clouds,0.6,-80.03,
593,Harper,LR,76.17,overcast clouds,4.38,-7.72,
594,Mbaiki,CF,69.48,overcast clouds,3.87,17.99,
595,Assiniboia,CA,81.88,overcast clouds,49.63,-105.98,
596,Mumford,GH,74.7,overcast clouds,5.26,-0.76,
597,Meulaboh,ID,82.92,broken clouds,4.14,96.13,
598,Vilhena,BR,70.05,scattered clouds,-12.74,-60.15,
599,Caravelas,BR,70.63,clear sky,-17.71,-39.25,
600,Tautira,PF,78.82,broken clouds,-17.73,-149.15,
603,Gat,IL,77.68,clear sky,31.61,34.76,
604,Muli,MV,80.53,light rain,2.92,73.57,
605,Katsuura,JP,86.14,overcast clouds,35.13,140.3,
606,Inirida,CO,72.73,overcast clouds,3.87,-67.92,
607,Moree,AU,71.62,clear sky,-29.47,149.85,
608,Jalu,LY,79.41,clear sky,29.03,21.55,
609,Saint-Pierre,RE,67.68,light rain,-21.34,55.48,
610,Cabinda,AO,72.68,light rain,-5.55,12.2,
611,Calamar,CO,76.95,overcast clouds,10.25,-74.91,
614,Laredo,US,89.89,clear sky,27.51,-99.51,
616,Topolevo,RU,89.78,scattered clouds,48.5,135.2,
617,San Juan Evangelista,MX,74.3,scattered clouds,17.9,-95.13,
619,Zaragoza,ES,70.02,clear sky,41.66,-0.88,
620,Puerto Narino,CO,75.15,scattered clouds,-3.77,-70.38,
621,Sena Madureira,BR,76.5,few clouds,-9.07,-68.66,
623,Beni,CD,62.29,moderate rain,0.5,29.47,
624,Kalmunai,LK,85.19,overcast clouds,7.42,81.82,
625,Tilichiki,RU,61.21,overcast clouds,60.47,166.1,
626,Syracuse,IT,80.89,clear sky,37.09,15.28,
627,Lazurne,UA,68.45,clear sky,46.08,32.53,
628,Sibolga,ID,84.42,broken clouds,1.74,98.78,
631,Shahrud,IR,76.84,clear sky,36.42,54.98,
