City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
197,Naumburg,DE,2021-07-27 00:49:17,51.15,11.8167,66.52,79,100,4.0
198,Talnakh,RU,2021-07-27 00:49:18,69.4865,88.3972,75.83,58,100,8.93
199,Garwa,IN,2021-07-27 00:49:18,24.1833,83.8167,79.02,86,100,7.31
200,Tessalit,ML,2021-07-27 00:49:18,20.1986,1.0114,91.02,31,100,8.97
201,Sibolga,ID,2021-07-27 00:49:19,1.7427,98.7792,79.74,79,100,1.74
202,Saint George,US,2021-07-27 00:47:43,37.1041,-113.5841,83.53,78,1,4.61
203,Magadan,RU,2021-07-27 00:49:19,59.5667,150.8,60.04,77,82,0.6
204,Tazovskiy,RU,2021-07-27 00:49:20,67.4667,78.7,44.92,98,100,18.39
205,San Cristobal,VE,2021-07-27 00:49:20,7.7669,-72.225,73.58,96,99,2.48
206,Kachug,RU,2021-07-27 00:49:21,53.9606,105.8817,70.32,52,10,3.0
207,Pryazha,RU,2021-07-27 00:49:21,61.6926,33.6216,54.63,93,74,1.1
208,Poselki,RU,2021-07-27 00:49:22,53.1324,46.5031,58.84,69,49,4.9
209,Bukama,CD,2021-07-27 00:49:22,-9.2,25.85,63.41,39,100,1.3
210,Bilibino,RU,2021-07-27 00:49:22,68.0546,166.4372,56.44,45,34,16.53
211,Den Chai,TH,2021-07-27 00:49:23,17.9837,100.0522,76.19,95,68,2.73
212,Mahebourg,MU,2021-07-27 00:49:23,-20.4081,57.7,68.29,94,40,11.5
213,Saint Anthony,US,2021-07-27 00:45:04,45.0205,-93.218,88.25,61,1,4.0
214,Portel,BR,2021-07-27 00:49:24,-1.9356,-50.8211,79.75,63,85,2.8
215,Cravo Norte,CO,2021-07-27 00:49:24,6.3017,-70.2041,75.31,91,100,3.67
216,Kushima,JP,2021-07-27 00:49:25,31.4583,131.2333,84.24,62,0,2.91
217,Gospic,HR,2021-07-27 00:49:25,44.5461,15.3747,65.89,52,29,1.41
218,Port Elizabeth,ZA,2021-07-27 00:49:26,-33.918,25.5701,70.11,26,0,8.05
219,Bambous Virieux,MU,2021-07-27 00:49:26,-20.3428,57.7575,68.25,94,40,11.5
220,Hvolsvollur,IS,2021-07-27 00:49:26,63.7533,-20.2243,46.81,86,100,4.83
221,Businga,CD,2021-07-27 00:49:27,3.3333,20.8833,70.34,99,100,3.94
222,Mehamn,NO,2021-07-27 00:49:27,71.0357,27.8492,46.8,86,44,5.91
223,Tasiilaq,GL,2021-07-27 00:49:28,65.6145,-37.6368,46.56,88,26,4.12
224,Lompoc,US,2021-07-27 00:49:28,34.6391,-120.4579,75.34,74,75,6.91
225,Tabuk,PH,2021-07-27 00:49:28,17.4189,121.4443,83.3,73,92,2.53
226,Phan Thiet,VN,2021-07-27 00:49:29,10.9333,108.1,83.03,73,3,15.01
227,Maniitsoq,GL,2021-07-27 00:49:29,65.4167,-52.9,51.96,78,100,15.17
228,Bengkulu,ID,2021-07-27 00:49:29,-3.8004,102.2655,77.5,68,30,4.56
229,Tocopilla,CL,2021-07-27 00:49:30,-22.092,-70.1979,59.95,76,10,10.18
230,Beringovskiy,RU,2021-07-27 00:49:30,63.05,179.3167,52.3,94,100,9.01
231,Terney,RU,2021-07-27 00:49:31,45.0503,136.6092,79.16,74,94,3.47
232,Ostrovnoy,RU,2021-07-27 00:49:31,68.0531,39.5131,46.09,87,100,21.7
233,Ekhabi,RU,2021-07-27 00:49:32,53.5102,142.9671,72.12,76,87,7.09
234,Souillac,MU,2021-07-27 00:49:32,-20.5167,57.5167,68.38,94,40,11.5
235,Kavieng,PG,2021-07-27 00:49:32,-2.5744,150.7967,84.29,65,57,5.23
236,Esperance,AU,2021-07-27 00:49:33,-33.8667,121.9,55.24,68,88,36.64
237,Bady Bassitt,BR,2021-07-27 00:49:33,-20.9181,-49.4453,71.8,35,0,0.0
238,Bandarbeyla,SO,2021-07-27 00:49:33,9.4942,50.8122,76.95,74,35,24.9
239,Grindavik,IS,2021-07-27 00:49:34,63.8424,-22.4338,49.95,93,90,10.36
240,Nizhniy Odes,RU,2021-07-27 00:49:34,63.6445,54.856,43.83,95,100,7.94
241,Marawi,PH,2021-07-27 00:49:35,7.9986,124.2928,79.65,65,96,8.08
242,Alofi,NU,2021-07-27 00:49:35,-19.0595,-169.9187,80.49,69,40,5.75
243,Derzhavinsk,KZ,2021-07-27 00:49:35,51.1,66.3167,56.57,58,0,4.7
244,Haradok,BY,2021-07-27 00:49:36,55.4624,29.9816,62.31,75,1,6.33
245,Tutoia,BR,2021-07-27 00:49:36,-2.7619,-42.2744,79.41,82,15,10.78
246,Vao,NC,2021-07-27 00:49:36,-22.6667,167.4833,68.32,60,33,16.93
247,Lubao,PH,2021-07-27 00:49:37,14.9167,120.55,83.14,76,86,17.74
