City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Cooma,AU,-36.2333,149.1333,47.97,71,98,31.07,overcast clouds
290,Hokitika,NZ,-42.7167,170.9667,53.08,86,100,5.03,light rain
291,Biak,ID,-0.9131,122.8766,82.89,68,77,6.87,broken clouds
292,Luderitz,NA,-26.6481,15.1594,54.54,72,0,9.17,clear sky
293,Zeya,RU,53.75,127.2667,70.32,93,90,3.78,light rain
294,Polovinnoye,RU,54.7914,65.9864,60.44,73,68,10.94,broken clouds
295,Dukat,RU,62.55,155.55,44.38,71,100,7.58,overcast clouds
296,Sao Caetano De Odivelas,BR,-0.75,-48.02,74.3,94,56,4.9,broken clouds
297,Necochea,AR,-38.5473,-58.7368,43.03,68,100,22.48,overcast clouds
298,Benghazi,LY,32.1167,20.0667,78.31,64,0,11.32,clear sky
299,Evensk,RU,61.95,159.2333,61.07,46,76,18.01,broken clouds
300,Sao Goncalo Do Sapucai,BR,-21.8922,-45.5953,59.74,51,1,3.47,clear sky
301,Kruisfontein,ZA,-34.0033,24.7314,53.89,86,26,12.77,scattered clouds
302,Salalah,OM,17.0151,54.0924,77.09,94,90,8.05,light intensity drizzle
303,Georgiyevskoye,RU,58.731,45.024,53.67,68,21,4.85,few clouds
304,Fort William,GB,56.8165,-5.1121,57.31,93,100,1.79,overcast clouds
305,Saint-Joseph,RE,-21.3667,55.6167,66.58,85,59,14.09,light rain
306,Monte Patria,CL,-30.6919,-70.9467,54.39,26,0,0.94,clear sky
307,Baoshan,CN,46.5586,131.4244,97.65,34,10,5.93,clear sky
308,Shimoda,JP,34.6667,138.95,83.17,71,94,11.95,overcast clouds
309,Xingcheng,CN,40.6167,120.7167,84.22,57,96,4.45,light rain
310,Vanavara,RU,60.34,102.2797,86.27,33,0,1.14,clear sky
311,Pisco,PE,-13.7,-76.2167,63.01,82,4,3.44,clear sky
312,Abu Dhabi,AE,24.4667,54.3667,93.22,52,89,4.61,overcast clouds
313,Agucadoura,PT,41.4318,-8.7804,63.25,88,1,7.07,clear sky
314,Peleduy,RU,59.6289,112.7406,88.52,29,1,10.47,clear sky
315,Vestmannaeyjar,IS,63.4427,-20.2734,53.13,84,33,2.91,scattered clouds
316,Kathmandu,NP,27.7167,85.3167,75.42,88,75,2.3,broken clouds
317,Vao,NC,-22.6667,167.4833,68.31,62,32,15.64,scattered clouds
318,San Patricio,US,28.017,-97.5169,84.83,68,20,7.65,few clouds
319,Henties Bay,NA,-22.116,14.2845,54.86,82,0,5.37,clear sky
320,Shuangyashan,CN,46.6361,131.1539,97.0,35,12,7.45,few clouds
321,Masvingo,ZW,-20.0637,30.8277,45.77,89,0,1.99,clear sky
322,Nisia Floresta,BR,-6.0911,-35.2086,74.21,93,2,6.85,clear sky
323,Buala,SB,-8.145,159.5921,83.64,73,93,9.31,light rain
324,Marsh Harbour,BS,26.5412,-77.0636,83.35,75,40,7.81,scattered clouds
325,Boa Vista,BR,2.8197,-60.6733,78.78,89,75,2.3,broken clouds
326,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,83,90,16.11,overcast clouds
327,Caucaia,BR,-3.7361,-38.6531,80.04,79,20,9.22,few clouds
328,Portland,US,45.5234,-122.6762,84.2,43,40,1.01,scattered clouds
329,Bouca,CF,6.5105,18.2733,68.59,98,100,1.92,overcast clouds
330,Urumqi,CN,43.801,87.6005,81.55,32,0,4.47,clear sky
331,Mosquera,CO,4.7059,-74.2302,53.69,94,90,2.3,drizzle
332,Male,MV,4.1748,73.5089,82.06,76,99,12.01,light rain
333,Rantepao,ID,-2.9701,119.8978,81.14,49,85,3.49,overcast clouds
334,Labuhan,ID,-6.8844,112.2051,84.78,58,5,4.05,clear sky
335,Sao Filipe,CV,14.8961,-24.4956,73.83,82,9,8.72,clear sky
336,Ust-Omchug,RU,61.15,149.6333,50.76,64,99,8.12,overcast clouds
337,Sitka,US,57.0531,-135.33,60.69,77,75,4.61,broken clouds
338,Sioux Lookout,CA,50.1001,-91.917,64.94,49,1,2.37,clear sky
339,Ndele,CF,8.4109,20.6473,66.76,99,97,3.53,overcast clouds
340,Xinyang,CN,32.1228,114.0656,74.86,91,99,17.92,light rain
341,Manaure,CO,11.7751,-72.4445,81.95,75,85,14.09,overcast clouds
342,Noyabrsk,RU,63.1994,75.4507,58.46,84,76,5.01,light rain
343,Rudbar,AF,30.15,62.6,87.75,14,100,23.91,overcast clouds
344,Zhigalovo,RU,54.8097,105.1578,82.2,38,62,1.32,broken clouds
345,Faya,SA,18.3851,42.4509,63.12,84,75,5.82,broken clouds
346,Negombo,LK,7.2083,79.8358,82.45,83,40,5.75,scattered clouds
